Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS171115-01,2017/11/15,Aipysurus,foliosquama,Shark Bay,,,-25.380483,113.420583,-25.389608,113.416433,-25.398733,113.412283,,,16.50,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171116-03,2017/11/16,Aipysurus,foliosquama,Shark Bay,,,-25.210433,113.441800,-25.201983,113.440342,-25.193533,113.438883,,,18.20,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171116-04,2017/11/16,Aipysurus,foliosquama,Shark Bay,,,-25.149250,113.391033,-25.157700,113.393667,-25.166150,113.396300,,,21.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180310-02,2018/03/10,Aipysurus,foliosquama,Shark Bay,,,-25.108967,113.429517,-25.117933,113.427858,-25.126900,113.426200,,,18.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180311-01,2018/03/11,Aipysurus,foliosquama,Shark Bay,,,-25.198567,113.574233,-25.189258,113.574442,-25.179950,113.574650,,,15.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180311-02,2018/03/11,Aipysurus,foliosquama,Shark Bay,,,-25.158350,113.581067,-25.164550,113.588017,-25.170750,113.594967,,,13.20,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180311-03,2018/03/11,Aipysurus,foliosquama,Shark Bay,,,-25.279700,113.655200,-25.289417,113.655500,-25.299133,113.655800,,,11.50,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180313-02,2018/03/13,Aipysurus,foliosquama,Shark Bay,,,-25.680250,113.645800,-25.672117,113.641458,-25.663983,113.637117,,,11.50,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180314-01,2018/03/14,Aipysurus,foliosquama,Shark Bay,,,-25.232033,113.448150,-25.240775,113.450117,-25.249517,113.452083,,,16.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180315-01,2018/03/15,Aipysurus,foliosquama,Shark Bay,,,-25.679367,113.257117,-25.669975,113.257175,-25.660583,113.257233,,,15.60,20,,,,,,,
